question,option1,option2,option3,option4,correctAnswer,solution
Who was the first Prime Minister of India?,Jawaharlal Nehru,Mahatma Gandhi,Sardar Patel,Subhash Chandra Bose,Jawaharlal Nehru,Jawaharlal Nehru was the first Prime Minister of India.
In which year did India gain independence?,1945,1946,1947,1948,1947,India gained independence on August 15, 1947.
Which movement was led by Gandhi in 1930?,Non-Cooperation Movement,Quit India Movement,Champaran Movement,Dandi March,Dandi March,Gandhi led the Dandi March in 1930 as part of the Civil Disobedience Movement.
Who is known as the 'Iron Man of India'?,Sardar Patel,Bal Gangadhar Tilak,Lal Bahadur Shastri,Jawaharlal Nehru,Sardar Patel,Sardar Patel is known as the 'Iron Man of India' for his role in uniting the country.
Which act was passed in 1919 to suppress political dissent?,Indian Act of 1919,Rowlatt Act,Act of 1909,Indian Freedom Act,Rowlatt Act,The Rowlatt Act of 1919 was passed to suppress political dissent.
What was the main objective of the Quit India Movement?,End British rule in India,Improve trade relations with Britain,Establish separate states,Increase Indian representation in British Parliament,End British rule in India,The Quit India Movement aimed to end British rule in India.
Who was the leader of the Azad Hind Fauj?,Bhagat Singh,Subhash Chandra Bose,Jawaharlal Nehru,Chandra Shekhar Azad,Subhash Chandra Bose,Subhash Chandra Bose led the Azad Hind Fauj (Indian National Army).
When did India become a Republic?,1950,1947,1948,1952,1950,India became a Republic on January 26, 1950.
What was the significance of the Simon Commission?,It proposed constitutional reforms,It was a British inquiry into the Jallianwala Bagh massacre,It led to the formation of the Indian National Congress,It was a commission to review the government of India,It proposed constitutional reforms,The Simon Commission proposed constitutional reforms but was boycotted as it had no Indian members.
Who was the first Indian to win the Nobel Prize?,Rabindranath Tagore,Mahatma Gandhi,Subhash Chandra Bose,Jawaharlal Nehru,Rabindranath Tagore,Rabindranath Tagore was the first Indian to win the Nobel Prize in Literature.
